id,src,fu,t,loc,p,s,f,fo,sd,z,doc,v,di,nota,lat,lng,u
R4,R,Rodríguez Inmobiliaria,"~500m² – José Mármol 1000, Barrio Villanueva",Mina Clavero,34000,500,12,42,S,Z2B,A consultar,A consultar,FALSE,"200m de Av San Martín, 200m del río Los Sauces.",-317.265,-65.007,https://rodriguezinmuebles.com.ar/propiedades/terreno-baldio-centrico-en-mina-clavero/
R5,R,Rodríguez Inmobiliaria,"1.180m² – Camino Boca del Río, Las Tapias",Las Tapias,26000,1180,25,47,O,GEN,A consultar,A consultar,FALSE,A 150m del lago.,-319.144,-651.129,https://rodriguezinmuebles.com.ar/propiedades/terreno-baldio-camino-a-boca-del-rio-en-las-tapias/
R6,R,Rodríguez Inmobiliaria,"Fracciones – Bajo El Molino, Nono",Nono,26900,1000,25,40,O,NP,A consultar,"Luz, agua",FALSE,"9 fracciones. 600m de ruta, 200m Río Chico, 800m Río Los Sauces.",-31.811.352,-65.009.691,https://rodriguezinmuebles.com.ar/propiedades/2612/
R7,R,Rodríguez Inmobiliaria,"Fracciones – zona Museo Rocsen, Nono",Nono,28000,1000,25,40,O,NSC,A consultar,Luz eléctrica,FALSE,5km de la plaza. Vistas 360°.,-31.793.696,-64.997.905,https://rodriguezinmuebles.com.ar/propiedades/fracciones-de-terreno-zona-museo-rocsen/
R8,R,Rodríguez Inmobiliaria,"21.979m² – Ruta 14 Km 106, San Huberto",San Huberto,55000,21979,39,564,O,ZEU,A consultar,A consultar,TRUE,39m frente a la ruta. Lote muy alargado. Vistas Altas Cumbres.,-31.837.223,-64.995.039,https://rodriguezinmuebles.com.ar/propiedades/21-979-m2-sobre-ruta-en-san-huberto-nono/
R9,R,Rodríguez Inmobiliaria,468m² – Remedios de Escalada 32 (Plaza Nono),Nono,60000,468,15.5,30,O,NC,A consultar,Todos los servicios,FALSE,A 30m de la plaza de Nono. Zona comercial. Apto locales + deptos.,-31.795.835,-65.002.726,https://rodriguezinmuebles.com.ar/propiedades/unico-lote-centrico-a-30-mt-de-la-plaza-en-nono/
R10,R,Rodríguez Inmobiliaria,"4.100m² – Camino Ventana, Las Rabonas",Las Rabonas,60000,4100,50,82,O,GEN,Escritura,Agua y luz,FALSE,2 terrenos juntos (~2.020+2.080m²). A 300m Ruta 14. Escritura.,-31.899.101,-64.981.509,https://rodriguezinmuebles.com.ar/propiedades/terreno-en-las-rabonas-con-inigualables-vistas/
R11,R,Rodríguez Inmobiliaria,10.198m² – El Alto de Nono,Nono,106000,10198,71,144,O,NP,A consultar,A consultar,TRUE,71m frente × 141m fondo. Salida a 2 calles. Zona de vistas únicas.,-31.803.649,-64.982.945,https://rodriguezinmuebles.com.ar/propiedades/fraccion-de-terreno-en-el-alto-de-nono-con-lindas-vistas/
R12,R,Rodríguez Inmobiliaria,18.454m² con costa de Río Chico,Nono,185000,18454,70,264,E,NR,A consultar,A consultar,TRUE,70m frente al río. Apto turístico. FOS 0.05 confirmado (solo 922m² de planta).,-3.179.802,-65.001.136,https://rodriguezinmuebles.com.ar/propiedades/espectacular-sitio-con-costa-de-rio-a-10-cuadras-de-la-plaza-en-nono/
R13,R,Rodríguez Inmobiliaria,"1.497m² – Espinillo s/n, Los Hornillos",Los Hornillos,22000,1497,25,40,O,GEN,A consultar,A consultar,FALSE,"A 200m de Ruta 14. Llano, alambrado perimetral.",-31.903,-64.981,https://rodriguezinmuebles.com.ar/propiedades/terreno-en-los-hornillos-a-200-mt-de-la-ruta/
R14,R,Rodríguez Inmobiliaria,"1.646m² – Barrio El Tajamar, Las Rabonas",Las Rabonas,28000,1646,30,55,O,GEN,A consultar,A consultar,FALSE,Av San Martín y El Tero. Vegetación autóctona.,-31.871,-64.981,https://rodriguezinmuebles.com.ar/propiedades/terreno-en-las-rabonas-con-mejoras-y-vista-a-las-sierras/
R15,R,Rodríguez Inmobiliaria,"27.000m² – Av de Los Recuerdos, Las Calles",Las Calles,56000,27000,100,270,O,GEN,A consultar,"Luz, agua",FALSE,3 terrenos. Vistas a las Altas Cumbres.,-31.824.121,-64.971.834,https://rodriguezinmuebles.com.ar/propiedades/3-terrenos-en-las-calles-con-impactantes-vistas-a-las-altas-cumbres/
R16,R,Rodríguez Inmobiliaria,"11.888m² – Bajo El Molino, Nono",Nono,,11888,70,170,O,NR,A consultar,A consultar,FALSE,A 150m del Río Los Sauces. Alambrado 6 hilos.,-31.816.382,-65.012.742,https://rodriguezinmuebles.com.ar/propiedades/fracc-de-terreno-a-150-mt-del-rio-en-nono/
Ri1,Ri,Riegé Inmobiliaria,360m² – Los Tilos y Rodolfo Riegé,Mina Clavero,39500,360,12,30,S,Z2B,Escritura,"Luz, agua",TRUE,12m frente × 30m fondo. Frente a Plaza de los Niños. Barrio residencial consolidado.,-31.725.401,-65.009.351,https://www.riegeinmobiliaria.com/detalle-propiedades/terreno-en-venta%2C-mina-clavero-c%C3%B3rdoba
Ri2,Ri,Riegé Inmobiliaria,5.445m² – Av San Martín y Casimiro Velazco,Mina Clavero,1800000,5445,60,91,O,Z4,A consultar,Todos los servicios,FALSE,"Lote comercial premium. Zona 4: FOS 0.80, FOT 1.50 confirmados. Centro de MC.",-31.724.835,-65.004.131,https://www.riegeinmobiliaria.com/detalle-propiedades/%C2%A1gran-oportunidad-de-inversi%C3%B3n-en-el-coraz%C3%B3n-del-valle-de-traslasierra!
G1,G,Inmobiliaria Giordano,"500m² – Barrio Las Moras, 400m del Río",Mina Clavero,45000,500,15,33,S,Z2B,A confirmar,A consultar,FALSE,A 400m del Río de los Sauces. Oportunidad.,-317.268,-650.018,https://inmobiliariagiordano.com.ar/property/lote-en-venta-a-400m-de-rio-de-los-sauces-mina-clavero-cordoba/
G2,G,Inmobiliaria Giordano,"Terreno – Panaholma, Córdoba",Panaholma,17000,1000,25,40,O,GEN,A confirmar,A consultar,FALSE,Campo en Panaholma.,-31.633,-65.055,https://inmobiliariagiordano.com.ar/property/%f0%9f%8c%84-venta-de-terreno-panaholma-cordoba-%f0%9f%8f%a1/
LS1,LS,López Sacco Inmobiliaria,3 lotes – Bajo El Molino / Río Sauces,Nono,26000,3000,40,75,O,NP,A consultar,A consultar,FALSE,Se venden en block o separado. A metros del Río de los Sauces.,-31.795,-65.0,https://lopezsacco.com/lote-terreno-venta-nono/9885991
LS2,LS,López Sacco Inmobiliaria,Lotes Nono – vistas (block),Nono,99000,5000,50,100,O,NP,A consultar,A consultar,FALSE,Venta en block. Hermosas vistas.,-31.797,-64.998,https://lopezsacco.com/lote-terreno-venta-nono/9787253
LS3,LS,López Sacco Inmobiliaria,"Lote – San Lorenzo, Traslasierra",San Lorenzo (MC),14900,1000,25,40,O,ZEU,A consultar,A consultar,FALSE,10 minutos de MC y Villa Cura Brochero.,-31.673,-65.016,https://lopezsacco.com/lote-terreno-venta-san-lorenzo/9587822
LS4,LS,López Sacco Inmobiliaria,325m² – Costanera San Sebastián,Mina Clavero,27800,325,10,32.5,E,Z3,Escritura,"Electricidad, agua, internet, cable",TRUE,"Frente al Río de Los Sauces. Plano, parcialmente forestado. Escritura. Todos los servicios.",-317.452,-65.01,https://lopezsacco.com/lote-de-playa-venta-san-sebastian-mina-clavero/9750717
LS5,LS,López Sacco / Barros Prop.,"1.000m² – Barrio Cerrado ""Terrazas del Valle""",Arroyo de los Patos,28000,1000,25,40,O,ZEU,Cesión de derechos,"Luz, agua",FALSE,5km de MC por Av. Marcos López (asfalto). 3.5km de Nono. 800m del río. Barrio cerrado.,-31.767,-65.001,https://lopezsacco.com/lote-terreno-venta-arroyo-de-los-patos-mina-clavero/9550479
GP1,GP,Gutiérrez Palma Inmobiliaria,Lotes – Yacanto,Yacanto,,2000,35,57,O,SJZ3,Consultar,A consultar,FALSE,Entorno natural serrano.,-32.042,-65.034,https://gutierrezpalma.com.ar/propiedad/oportunidad-de-inversion-lotes-en-yacanto/
GP2,GP,Gutiérrez Palma Inmobiliaria,Lote 8.910m² esquina – Luyaba,Luyaba,,8910,66,135,O,SJZ1,Consultar,A consultar,TRUE,66m frente × 135m fondo. Depto. San Javier.,-32.149,-65.058,https://gutierrezpalma.com.ar/propiedad/lote-en-venta-luyaba-san-javier/
GP3,GP,Gutiérrez Palma Inmobiliaria,Lote – San Javier,San Javier,,1000,25,40,O,SJZ4,Consultar,A consultar,FALSE,Viví donde otros sueñan vacacionar.,-32.027,-65.03,https://gutierrezpalma.com.ar/propiedad/lote-en-venta-san-javier/
GP4,GP,Gutiérrez Palma Inmobiliaria,"Lote – Achiras Arriba, San Javier",Achiras,,10000,65,154,O,SJZ1,Consultar,A consultar,FALSE,Al pie de las sierras. Entorno privilegiado.,-31.996,-65.014,https://gutierrezpalma.com.ar/propiedad/venta-de-lote-en-achiras-arriba-san-javier/
GP5,GP,Gutiérrez Palma Inmobiliaria,Lotes con vista panorámica – SJ,San Javier,,2000,35,57,O,SJZ4,Consultar,A consultar,FALSE,Vista panorámica excepcional.,-32.028,-65.031,https://gutierrezpalma.com.ar/propiedad/oportunidad-unica-en-san-javier/
SJP1,SJP,San Javier Propiedades,"Últimos lotes – B° San Onofre, SJ",San Javier,,1000,25,40,O,SJZ4,Consultar,A consultar,FALSE,A 700m de la Plaza de San Javier. Barrio en desarrollo.,-32.026,-65.03,https://sanjavierpropiedades.com/propiedades/lotes-en-san-javier-2/
VT1,VT,Vitullo Gestión Inmobiliaria,1Ha – Yacanto (400m de Ruta 14),Yacanto,,10000,65,154,O,SJZ1,Escritura,"Luz, agua corriente",FALSE,"Terreno boscoso. Bajada al arroyo ""Yacanto"". Escritura inmediata. Coord. exactas en aviso.",-32.042.213,-65.033.933,https://www.argenprop.com/vitullo-gestion-inmobiliaria/terrenos/argentina?anunciante-242335=
VT2,VT,Vitullo Gestión Inmobiliaria,10.548+13.331m² – Yacanto (dos fracciones),Yacanto,,23879,100,239,O,SJZ1,A consultar,A consultar,FALSE,Dos fracciones boscosas. Se venden juntas o separadas.,-32.045,-65.035,https://www.argenprop.com/vitullo-gestion-inmobiliaria/terrenos/argentina?anunciante-242335=
VT3,VT,Vitullo Gestión Inmobiliaria,"18.358m² – La Población, SJ",La Población,,18358,90,204,O,LPLP,A consultar,"Luz, agua corriente",FALSE,Metros de Ruta 14. Vista a los Comechingones. Pequeño bosque autóctono añoso.,-32.064,-65.029,https://www.argenprop.com/vitullo-gestion-inmobiliaria/terrenos/argentina?anunciante-242335=
IH1,IH,Inverhome Inmobiliaria,"Loteo 28 lotes 5.000–6.100m², SJ/Yacanto",San Javier,,5500,50,110,O,SJZ7,A confirmar,A consultar,FALSE,"≈USD 6/m² (30k–37k/lote). Financiación (entrega USD 20k + saldo). Vista al Champaquí. 4.8km plaza SJ, 1km Ruta 14.",-32.03,-65.03,https://www.argenprop.com/terrenos/venta/san-javier-cordoba
O1,O,Claudia Loza Inmob.,300m² – Canal de Beagle 1416,Mina Clavero,15000,300,10,30,N,Z3,Derechos posesorios,"Luz, agua",FALSE,A 300m del Balneario Los Cedros. Lote en zona residencial.,-31.746.361,-65.009.341,https://www.nuroa.com.ar/venta/terreno-mina-clavero
O2,O,López Sacco / iCasas,325m² – Barrio San Sebastián (sobre ruta 14),Mina Clavero,27800,325,10,32.5,N,Z3,Escritura,"Electricidad, agua, internet, cable",TRUE,"Sobre Ruta 14. Frente al río. Plano, parcialmente forestado. Excelente para renta turística.",-317.452,-65.009,https://lopezsacco.com/lote-de-playa-venta-san-sebastian-mina-clavero/9750717
O3,O,iCasas / Alaniz Diez,3.822m² con pileta y cabaña,Mina Clavero,280000,3822,50,76,S,Z3,Escritura,"Luz, agua, cloacas",FALSE,300m de Av San Martín. Ideal hotel o complejo.,-317.278,-65.006,https://www.icasas.com.ar/venta/terrenos-lotes/cordoba-provincia/mina-clavero
O4,O,FP Inmobiliaria,"1Ha – Achiras Arriba, Champaquí",Achiras,36000,10000,65,154,O,SJZ1,Escritura,Agua y luz,FALSE,3.5km de SJ. Ideal vivienda o turismo.,-32.025,-65.045,https://www.icasas.com.ar/inmueble/bcad-95b3-1961f41-622c676c1fe-77f2
O5,O,ArgenProp,Lotes con escritura – plaza SJ,San Javier,,2900,35,83,O,SJZ3,Escritura,"Luz, agua",FALSE,"3 lotes: 2.220m² (esq.), 3.652m², 2.927m². Ideal turístico.",-32.025,-65.03,https://www.argenprop.com/terrenos/venta/san-javier-cordoba
O6,O,Brene Inmob. / iCasas,"625m² – Panaholma, 100m del río",Panaholma,,625,20,31,O,GEN,A confirmar,A consultar,FALSE,Hermoso lote en localidad tranquila.,-31.633,-65.055,https://www.icasas.com.ar/venta/terrenos/cordoba-provincia/san-javier-yacanto
DN1,DN,Denacimiento Propiedades,277m² – Intendente Oviedo y Olmos (1 cdra del casino),Mina Clavero,22000,277,10,27.7,S,Z4,Escritura,Luz,TRUE,"Escritura. Luz instalada, medianeras levantadas. A metros de Av. San Martín. Ideal comercial o residencial.",-317.223,-650.015,https://denacimientopropiedades.com/propiedades/propiedad/terreno-con-escritura-en-mina-clavero/
DN2,DN,Denacimiento Propiedades,"2.5Ha – Paso de las Tropas, Nono (bajada Río Chico)",Nono,30000,25000,100,250,O,NR,Cesión de derechos,Luz en calle,FALSE,"Cesión de derechos posesorios +20 años. Bajada al Río Chico de Nono. Alambrado. Mejoras: parrillas, casilla.",-318.072,-650.075,https://denacimientopropiedades.com/propiedades/ciudad/nono/
DN3,DN,Denacimiento Propiedades,Terreno oportunidad – Nono (calle pública s/n),Nono,69000,3000,40,75,O,NP,A consultar,A consultar,FALSE,Oportunidad. Publicado hace 1 mes. Consultar superficie exacta.,-31.796,-65.002,https://denacimientopropiedades.com/propiedades/ciudad/nono/
HE1,HE,Herrera Inmobiliaria,"300m² – Costanera Norte, VCB (media cdra del río)",Villa Cura Brochero,15000,300,10,30,N,VCB,A consultar,A consultar,TRUE,"Oportunidad. 10m × 30m. A media cuadra del Río Panaholma, 5 cuadras terminal, 6 cuadras plaza.",-317.071,-650.187,https://herrerainmobiliaria.com.ar/propiedad/lote-zona-residencial-a-metro-de-rio-panaholma/
HE2,HE,Herrera Inmobiliaria,"420m² – Poeta Lugones, 1 cuadra Av. San Martín",Mina Clavero,50000,420,10,42,S,Z3,A consultar,A consultar,TRUE,10m × 42m. Fondo. A 1 cuadra de Av. San Martín y 2.5 cuadras del casino. Zona comercial/peatonal.,-317.201,-650.038,https://herrerainmobiliaria.com.ar/propiedad/lote-ideal-vivienda-de-veraneo-salida-directa-a-rio/
HE3,HE,Herrera Inmobiliaria,"Lotes – VCB (4 cuadras centro, financiación)",Villa Cura Brochero,28000,800,20,40,O,VCB,A consultar,A consultar,FALSE,"Financiación propia. 4 cuadras del centro, 2 cuadras del polideportivo. Varios lotes disponibles.",-317.068,-65.018,https://herrerainmobiliaria.com.ar/propiedad/lotes-con-excelente-ubicacion-financiacion/
FP1,FP,FP Inmobiliaria,Lote – Las Tapias (200m del Dique Nivelador),Las Tapias,8000,700,20,35,O,GEN,Posesión veinteñal,A consultar,FALSE,"Posesión veinteñal. Sobre calle principal asfaltada. 200m del ingreso al Dique ""Boca del Río"".",-31.96,-65.094,https://www.fpinmuebles.com.ar/tipo-propiedad/terreno-lote/
FP2,FP,FP Inmobiliaria,"Lote – Los Pozos, Villa de Las Rosas",Villa de Las Rosas,65000,2000,35,57,O,VLR3,A consultar,A consultar,FALSE,"Zona Los Pozos, VLR. Vista a las sierras.",-31.923,-65.041,https://www.fpinmuebles.com.ar/tipo-propiedad/terreno-lote/
ME1,ME,Varios anunciantes (ArgenProp),896m² – Villa de Merlo (3 min del centro),Merlo,15000,896,20,45,O,MLO,Escritura,A consultar,FALSE,"Villa de Merlo, San Luis. 3 minutos del centro. Vista a sierras y valle. Barrio en desarrollo. Desde USD 15.000.",-323.488,-650.135,https://www.argenprop.com/terrenos/venta/merlo-junin
ME2,ME,ArgenProp / BienesOnline,"1.500m² – Cerro de Oro, Merlo (faldeo serrano)",Merlo,28000,1500,30,50,O,MLOU,A confirmar,"Luz, agua",FALSE,Sobre faldeo. Vista panorámica al valle y sierras. Luz y agua. Zona tranquila.,-32.344,-65.009,https://www.argenprop.com/terrenos/venta/merlo-junin
ME3,ME,ArgenProp,"1.500m² – Piedra Blanca, Merlo",Merlo,28000,1500,25,60,O,MLO,A confirmar,"Luz, agua",FALSE,Piedra Blanca. Entorno natural. Luz y agua potable. Bases terminadas para vivienda de 80m².,-32.35,-65.012,https://www.argenprop.com/terrenos/venta/merlo-junin
ME4,ME,ArgenProp,"1.039m² – Rincón del Este, Merlo (sobre Ruta 5)",Merlo,80000,1039,19.6,53,N,MLO,A confirmar,Todos los servicios,FALSE,Zona premium. Vista al valle y sierras de Comechingones. Todos los servicios incl. gas natural.,-32.336,-65.003,https://www.argenprop.com/terrenos/venta/merlo-junin
ME5,ME,Varios anunciantes,420m² – Santa Rosa del Conlara (12m × 35m),Santa Rosa del Conlara,8000,420,12,35,O,MLO,A confirmar,A consultar,TRUE,"A 18km de Merlo, ingreso por autopista. Vista al Valle del Conlara y Comechingones. Financiación.",-323.423,-652.016,https://www.bullano.com.ar/terrenos/venta--san-luis--san-luis-merlo.html
ME6,ME,ArgenProp,7.098m² – Carpintería (5km de Merlo),Carpintería,50000,7098,65,109,O,MLOU,A confirmar,"Electricidad, agua, wi-fi",FALSE,Sobre Av. Los Mandarinos (asfalto). 700m del centro de Carpintería. Excelente arboleda. Subdivisión posible.,-324.155,-650.086,https://www.argenprop.com/terrenos/venta/merlo-junin
TG1,TG,Tagliabue Propiedades,"800m² – Jardines de la Plaza Lote 175 (esq., 500m plaza)",Merlo,39000,800,20,40,N,MLO,Escritura,Todos incl. gas,TRUE,Doble frente Norte y Este. Gas natural. Parquizado. A 500m de la plaza Sobremonte. Escritura inmediata. Jorge Tagliabue Mat.768.,-323.423,-650.152,https://tagliabuepropiedades.com/propiedad/5399978-2/
TG2,TG,Tagliabue Propiedades,1.000m² – Av. del Deporte y Carlos Gardel (800m centro),Merlo,32000,1000,20,50,O,MLO,A confirmar,"Agua, luz",TRUE,1000.20m². Zona de mayor crecimiento. Fácil acceso. Servicios. Posibilidad gas natural.,-323.453,-65.013,https://tagliabuepropiedades.com/propiedad/6011737-2/
TG3,TG,Tagliabue Propiedades,705m² – Valle de los Comechingones L10 (Ruta N°5),Merlo,17000,705,20,35,E,MLO,Escritura,Todos los servicios,TRUE,"Esquina, doble frente Este (Ruta N°5) y Sur. A 5 min del centro. Todos los servicios. Hermosa vista sierra y valle. Escritura inmediata.",-32.349,-650.104,https://tagliabuepropiedades.com/propiedad/5707849-2/
TG4,TG,Tagliabue Propiedades,1.010m² – Merlo (destacado),Merlo,24000,1010,20,50,O,MLO,A confirmar,A consultar,FALSE,Destacado en homepage. Consultar ubicación exacta.,-323.435,-650.125,https://tagliabuepropiedades.com
TG5,TG,Tagliabue Propiedades,1.000m² – Merlo (destacado),Merlo,45000,1001,20,50,O,MLO,A confirmar,A consultar,FALSE,Destacado en homepage. Consultar ubicación exacta.,-32.341,-65.014,https://tagliabuepropiedades.com
TG6,TG,Tagliabue Propiedades,900m² – Barrio Privado Solares del Valle,Merlo,13000,900,20,45,O,MLO,Escritura,A consultar,FALSE,Barrio privado. Salida a dos calles. Vista al cordón serrano y al valle. Escriturado.,-323.525,-65.018,https://tagliabuepropiedades.com
